Wall time,Step,Value
1773406588.9850712,100,5304.85009765625
1773406702.9678555,200,5156.14990234375
1773406820.861455,300,5110.60009765625
1773406936.8183367,400,5183.64990234375
1773407054.700979,500,5204.14990234375
1773407173.1032805,600,5174.2998046875
1773407292.2443728,700,5209.35009765625
1773407410.197425,800,5213.5
1773407528.5687952,900,5201.7998046875
1773407647.1937804,1000,5172.10009765625
1773407766.0454192,1100,5208.0
1773407885.9774566,1200,5243.89990234375
1773408001.7747333,1300,5235.85009765625
1773408122.956641,1400,5264.2998046875
1773408238.4281795,1500,5232.64990234375
1773408359.172256,1600,5233.35009765625
1773408476.5667813,1700,5211.0498046875
1773408594.6135468,1800,5211.7998046875
1773408714.8081024,1900,5223.7001953125
1773408833.1217408,2000,5153.9501953125
1773408954.62037,2100,5218.14990234375
1773409072.8516579,2200,5230.4501953125
1773409191.354314,2300,5104.7998046875
1773409312.2963688,2400,5170.89990234375
1773409431.004464,2500,5224.64990234375
1773409551.8674726,2600,5205.89990234375
1773409670.669143,2700,5231.5
1773409792.1329153,2800,5210.2001953125
1773409910.9949176,2900,5183.14990234375
1773410030.946214,3000,5190.5
1773410152.3542855,3100,5185.85009765625
1773410272.3180978,3200,5189.7001953125
1773410392.400376,3300,5170.10009765625
1773410511.313183,3400,5208.0498046875
1773410631.2239947,3500,5206.9501953125
1773410752.7305865,3600,5143.0
1773410872.0736809,3700,5207.4501953125
1773410992.1756346,3800,5173.85009765625
1773411110.198894,3900,5153.39990234375
1773411231.9923553,4000,5176.5498046875
1773411350.6843975,4100,5164.0
1773411471.0804782,4200,5189.0
1773411590.6524725,4300,5111.25
1773411710.4604068,4400,5096.0
1773411831.76208,4500,5163.4501953125
1773411951.1462862,4600,5191.75
1773412073.0362973,4700,5143.7998046875
1773412193.932966,4800,5091.39990234375
1773412313.875461,4900,5122.5
1773412435.6273234,5000,5224.64990234375
1773412552.8687322,5100,5220.5
1773412673.5147572,5200,5190.5
1773412793.6563642,5300,5186.75
1773412914.2817514,5400,5112.14990234375
1773413034.6314595,5500,5100.35009765625
1773413155.0935063,5600,5124.35009765625
1773413275.1892252,5700,5146.7998046875
1773413395.2784195,5800,5162.85009765625
